"","Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor","Date"
"78",2022,1,2,"Eixample",5,"el Fort Pienc","Nou. Milers d'euros","414.8",2022-01-01
"79",2022,1,2,"Eixample",6,"la Sagrada Família","Nou. Milers d'euros","--",2022-01-01
"80",2022,1,2,"Eixample",7,"la Dreta de l'Eixample","Nou. Milers d'euros","899.8",2022-01-01
"81",2022,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nou. Milers d'euros","508.9",2022-01-01
"82",2022,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nou. Milers d'euros","305.3",2022-01-01
"83",2022,1,2,"Eixample",10,"Sant Antoni","Nou. Milers d'euros","344.0",2022-01-01
"84",2022,1,3,"Sants-Montjuïc",11,"el Poble Sec","Nou. Milers d'euros","--",2022-01-01
"85",2022,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nou. Milers d'euros","--",2022-01-01
"86",2022,1,3,"Sants-Montjuïc",13,"la Marina de Port","Nou. Milers d'euros","--",2022-01-01
"87",2022,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nou. Milers d'euros","195.4",2022-01-01
"88",2022,1,3,"Sants-Montjuïc",15,"Hostafrancs","Nou. Milers d'euros","265.5",2022-01-01
"89",2022,1,3,"Sants-Montjuïc",16,"la Bordeta","Nou. Milers d'euros","--",2022-01-01
"90",2022,1,3,"Sants-Montjuïc",17,"Sants - Badal","Nou. Milers d'euros","204.8",2022-01-01
"91",2022,1,3,"Sants-Montjuïc",18,"Sants","Nou. Milers d'euros","216.7",2022-01-01
"92",2022,1,4,"Les Corts",19,"les Corts","Nou. Milers d'euros","605.9",2022-01-01
"93",2022,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nou. Milers d'euros","--",2022-01-01
"94",2022,1,4,"Les Corts",21,"Pedralbes","Nou. Milers d'euros","356.6",2022-01-01
"95",2022,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nou. Milers d'euros","--",2022-01-01
"96",2022,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Nou. Milers d'euros","587.0",2022-01-01
"97",2022,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Nou. Milers d'euros","--",2022-01-01
"98",2022,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nou. Milers d'euros","541.4",2022-01-01
"99",2022,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nou. Milers d'euros","823.4",2022-01-01
"100",2022,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nou. Milers d'euros","669.3",2022-01-01
"101",2022,1,6,"Gràcia",28,"Vallcarca i els Penitents","Nou. Milers d'euros","291.3",2022-01-01
"102",2022,1,6,"Gràcia",29,"el Coll","Nou. Milers d'euros","245.3",2022-01-01
"103",2022,1,6,"Gràcia",30,"la Salut","Nou. Milers d'euros","--",2022-01-01
"104",2022,1,6,"Gràcia",31,"la Vila de Gràcia","Nou. Milers d'euros","--",2022-01-01
"105",2022,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nou. Milers d'euros","--",2022-01-01
"106",2022,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Nou. Milers d'euros","--",2022-01-01
"107",2022,1,7,"Horta-Guinardó",34,"Can Baró","Nou. Milers d'euros","--",2022-01-01
"108",2022,1,7,"Horta-Guinardó",35,"el Guinardó","Nou. Milers d'euros","454.8",2022-01-01
"109",2022,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nou. Milers d'euros","364.7",2022-01-01
"110",2022,1,7,"Horta-Guinardó",37,"el Carmel","Nou. Milers d'euros","150.6",2022-01-01
"111",2022,1,7,"Horta-Guinardó",38,"la Teixonera","Nou. Milers d'euros","193.1",2022-01-01
"112",2022,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nou. Milers d'euros","--",2022-01-01
"113",2022,1,7,"Horta-Guinardó",40,"Montbau","Nou. Milers d'euros","--",2022-01-01
